idDato,año,experiencia,tipo_empleo,titulo_empleo,salario,moneda,salario_USD,idResidencia,porcentaje_remoto,tamaño_compañía
1,2020,MI,FT,Data Scientist,70000,EUR,79833,83,0,L
4,2020,MI,FT,Product Data Analyst,20000,USD,20000,99,0,S
6,2020,EN,FT,Data Analyst,72000,USD,72000,236,100,L
8,2020,MI,FT,Data Scientist,11000000,HUF,35735,101,50,L
9,2020,MI,FT,Business Data Analyst,135000,USD,135000,236,100,L
11,2020,EN,FT,Data Scientist,45000,EUR,51321,76,0,S
12,2020,MI,FT,Data Scientist,3000000,INR,40481,103,0,L
13,2020,EN,FT,Data Scientist,35000,EUR,39916,76,0,M
14,2020,MI,FT,Lead Data Analyst,87000,USD,87000,236,100,L
15,2020,MI,FT,Data Analyst,85000,USD,85000,236,100,L
16,2020,MI,FT,Data Analyst,8000,USD,8000,168,50,L
17,2020,EN,FT,Data Engineer,4450000,JPY,41689,112,100,S
19,2020,EN,FT,Data Science Consultant,423000,INR,5707,103,50,M
20,2020,MI,FT,Lead Data Engineer,56000,USD,56000,236,100,M
21,2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,46,0,M
22,2020,MI,FT,Product Data Analyst,450000,INR,6072,103,100,L
24,2020,MI,FT,BI Data Analyst,98000,USD,98000,236,0,M
25,2020,MI,FT,Lead Data Scientist,115000,USD,115000,234,0,L
26,2020,EX,FT,Director of Data Science,325000,USD,325000,236,100,L
27,2020,EN,FT,Research Scientist,42000,USD,42000,157,50,L
29,2020,EN,CT,Business Data Analyst,100000,USD,100000,236,100,L
31,2020,MI,FT,Data Engineering Manager,51999,EUR,59303,83,100,S
32,2020,EN,FT,Big Data Engineer,70000,USD,70000,236,100,L
34,2020,MI,FT,Research Scientist,450000,USD,450000,236,0,M
35,2020,MI,FT,Data Analyst,41000,EUR,46759,76,50,L
36,2020,MI,FT,Data Engineer,65000,EUR,74130,15,50,L
37,2020,MI,FT,Data Science Consultant,103000,USD,103000,236,100,L
38,2020,EN,FT,Machine Learning Engineer,250000,USD,250000,236,50,L
39,2020,EN,FT,Data Analyst,10000,USD,10000,162,100,S
40,2020,EN,FT,Machine Learning Engineer,138000,USD,138000,236,100,S
41,2020,MI,FT,Data Scientist,45760,USD,45760,236,100,S
42,2020,EX,FT,Data Engineering Manager,70000,EUR,79833,209,50,L
43,2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,178,0,M
44,2020,MI,FT,Data Engineer,106000,USD,106000,236,100,L
45,2020,MI,FT,Data Engineer,88000,GBP,112872,235,50,L
46,2020,EN,PT,ML Engineer,14000,EUR,15966,83,100,S
47,2020,MI,FT,Data Scientist,60000,GBP,76958,235,100,S
49,2020,MI,FT,Data Scientist,105000,USD,105000,236,100,L
50,2020,MI,FT,Data Engineer,61500,EUR,70139,76,50,L
51,2020,EN,FT,Data Analyst,450000,INR,6072,103,0,S
52,2020,EN,FT,Data Analyst,91000,USD,91000,236,100,L
53,2020,EN,FT,AI Scientist,300000,DKK,45896,61,50,S
54,2020,EN,FT,Data Engineer,48000,EUR,54742,83,100,L
57,2020,MI,FT,Data Scientist,34000,EUR,38776,209,100,M
58,2020,MI,FT,Data Scientist,118000,USD,118000,236,100,M
60,2020,MI,FT,Data Scientist,138350,USD,138350,236,100,M
61,2020,MI,FT,Data Engineer,110000,USD,110000,236,100,L
62,2020,MI,FT,Data Engineer,130800,USD,130800,236,100,M
63,2020,EN,PT,Data Scientist,19000,EUR,21669,110,50,S
66,2020,EN,FT,Data Scientist,55000,EUR,62726,83,50,S
67,2020,EN,FT,Data Scientist,43200,EUR,49268,83,0,S
