"IdCompra","Fecha","IdProducto","Cantidad","Precio","IdProveedor"
7140,"2019-01-25",42833,12,646.39,8
7141,"2019-01-25",42834,21,564.16,11
7142,"2019-01-25",42835,27,499.23,3
7143,"2019-01-25",42837,20,332.44,5
7144,"2019-01-25",42839,23,262.09,11
7145,"2019-01-25",42841,6,242.02,12
7146,"2019-01-25",42842,3,271.9,13
7147,"2019-01-25",42843,3,458.81,1
7148,"2019-01-25",42844,5,1210.07,7
7149,"2019-01-25",42845,7,631.3,7
7150,"2019-01-25",42855,14,791.58,3
7151,"2019-01-25",42856,6,353.99,2
7152,"2019-01-25",42857,2,412.81,7
7153,"2019-01-25",42858,8,333.72,10
7154,"2019-01-25",42859,6,428.2,1
7155,"2019-01-25",42860,1,419.55,5
7156,"2019-01-25",42862,5,320.21,4
7157,"2019-01-25",42983,14,260.02,6
7158,"2019-01-25",42907,3,308.37,3
7159,"2019-01-25",42908,4,988.09,6
7160,"2019-01-25",42912,8,1031.74,2
7161,"2019-01-25",42914,5,971.17,10
7162,"2019-01-25",42915,9,1299.37,11
7163,"2019-01-25",42918,12,540.37,4
7164,"2019-01-25",42921,7,539.28,5
7165,"2019-01-25",42922,39,574.14,3
7166,"2019-01-25",42924,6,453.74,3
7167,"2019-01-25",42925,17,2.27,6
7168,"2019-01-25",42933,5,766.2,7
7169,"2019-01-25",42936,6,2277.15,2
7170,"2019-01-25",42938,13,1617.27,8
7171,"2019-01-25",42939,15,2246.94,12
7172,"2019-01-25",42942,8,2105.92,3
7173,"2019-01-25",42943,20,1474.73,6
7174,"2019-01-25",42944,14,2902.49,4
7175,"2019-01-25",42946,3,1332.57,5
7176,"2019-01-25",42950,2,2078.79,7
7177,"2019-01-25",42952,2,2910.12,1
7178,"2019-01-25",42953,7,2757.38,8
7179,"2019-01-25",42954,7,2004.18,6
7180,"2019-01-25",42955,6,1447.13,4
7181,"2019-01-25",42956,13,1555.61,14
7182,"2019-01-25",42959,5,3086.99,7
7183,"2019-01-25",42960,2,3176.46,3
7184,"2019-01-25",42961,2,1939.31,7
7185,"2019-01-25",42962,11,1619.61,3
7186,"2019-01-25",42963,20,1775.21,5
7187,"2019-01-25",42964,9,2233.84,9
7188,"2019-01-25",42966,17,2489.29,14
7189,"2019-01-25",42972,8,2074.18,2
7190,"2019-01-25",43029,4,718.59,2
7191,"2019-01-25",43032,3,682.82,4
7192,"2019-01-25",43033,3,927.77,10
7193,"2019-01-25",43034,18,650.26,4
7194,"2019-01-25",43035,7,719.35,7
7195,"2019-01-25",43036,2,570.02,1
7196,"2019-01-25",43037,8,835.77,11
7197,"2019-01-25",43038,4,835.67,9
7198,"2019-01-25",43039,7,519.13,10
7199,"2019-01-25",43040,6,573.11,10
7200,"2019-01-25",43043,8,890.28,5
7201,"2019-01-25",42816,40,765.77,5
7202,"2019-01-25",42817,5,551.84,4
7203,"2019-01-25",42820,7,403.23,9
7204,"2019-01-25",42821,9,454.74,7
7205,"2019-01-25",42822,7,635.96,13
7206,"2019-01-25",42823,23,631.92,13
7207,"2019-01-25",42824,14,395.28,3
7208,"2019-01-25",42825,6,339.5,3
7209,"2019-01-25",42826,4,407.03,14
7210,"2019-01-25",42827,7,343.01,6
7211,"2019-01-25",42810,14,896.69,10
7212,"2019-01-25",42815,8,386.82,9
7213,"2019-01-25",42902,8,192.45,11
7214,"2019-01-25",42905,21,298.46,12
7215,"2019-01-25",42906,14,199.2,12
7216,"2019-01-25",42737,3,1283.49,2
7217,"2019-01-25",42864,1,154.03,8
7218,"2019-01-25",42865,5,123.14,1
7219,"2019-01-25",42867,8,120.86,10
7220,"2019-01-25",42868,7,135.21,7
7221,"2019-01-25",42869,2,150.87,12
7222,"2019-01-25",42873,7,394.33,8
7223,"2019-01-25",42874,1,371.61,10
7224,"2019-01-25",42875,7,377.87,6
7225,"2019-01-25",42876,9,371.78,12
7226,"2019-01-25",42877,21,388.26,2
7227,"2019-01-25",42878,6,414.73,8
7228,"2019-01-25",42880,10,407.74,4
7229,"2019-01-25",42882,15,325.23,11
7230,"2019-01-25",42884,4,391.81,8
7231,"2019-01-25",42886,3,352.91,4
7232,"2019-01-25",42887,2,323.78,7
7233,"2019-01-25",42888,7,337.9,5
7234,"2019-01-25",42891,2,374.13,4
7235,"2019-01-25",42892,8,410.43,13
7236,"2019-01-25",42893,10,381.87,3
7237,"2019-01-25",42894,3,310.04,9
7238,"2019-01-25",42895,7,382.08,3
7239,"2019-01-25",42896,6,358.97,14
7240,"2019-01-25",42897,18,376.48,10
7241,"2019-01-25",42987,2,302.19,3
