"IdVenta","Fecha","Fecha_Entrega","IdCanal","IdCliente","IdSucursal","IdEmpleado","IdProducto","Precio","Cantidad"
10,"2019-03-16","2019-03-17",1,1003,13,13001674,42894,515.0,2
17,"2019-02-07","2019-02-08",2,1590,13,13001674,42976,216.0,1
18,"2019-02-14","2019-02-22",2,3029,13,13001674,43010,387.0,3
19,"2019-09-21","2019-09-22",3,2854,13,13001674,42958,3763.0,2
24,"2019-03-08","2019-03-16",2,1286,13,13001674,42787,1366.42,2
25,"2019-06-04","2019-06-07",2,1117,13,13001674,42763,2118.38,1
26,"2019-11-12","2019-11-21",2,273,13,13001674,42754,1237.5,3
30,"2019-05-07","2019-05-16",1,2939,13,13001674,42861,542.0,1
31,"2019-08-19","2019-08-22",3,1270,13,13001674,42859,610.0,1
75,"2019-01-22","2019-01-26",2,3357,13,13001674,42789,218.02,1
76,"2019-07-15","2019-07-17",3,292,13,13001674,42818,1907.62,2
77,"2019-09-10","2019-09-13",1,596,13,13001674,42777,2557.5,3
78,"2019-11-14","2019-11-22",2,1854,13,13001674,42788,421.96,2
79,"2019-12-13","2019-12-16",1,1865,13,13001674,42777,2557.5,3
80,"2019-12-19","2019-12-26",2,1788,13,13001674,42799,1536.04,2
81,"2020-01-27","2020-01-28",2,109,13,13001674,42760,1637.24,3
82,"2020-04-10","2020-04-11",3,333,13,13001674,42791,258.28,2
83,"2020-05-27","2020-06-04",2,721,13,13001674,42764,1385.78,1
116,"2019-01-01","2019-01-02",2,1693,13,13001674,42825,554.18,1
117,"2019-01-17","2019-01-24",2,432,13,13001674,42822,816.86,1
118,"2019-02-07","2019-02-08",1,1789,13,13001674,42855,1130.0,3
119,"2019-03-06","2019-03-07",3,1651,13,13001674,42873,560.0,2
120,"2019-04-04","2019-04-09",2,2579,13,13001674,42858,505.0,3
121,"2019-04-19","2019-04-23",3,1632,13,13001674,42859,610.0,2
122,"2019-07-08","2019-07-09",1,2735,13,13001674,42883,498.0,2
123,"2019-07-10","2019-07-17",2,535,13,13001674,42839,353.32,1
124,"2019-10-18","2019-10-19",2,2798,13,13001674,42855,1130.0,2
125,"2019-11-01","2019-11-03",1,1532,13,13001674,42833,819.06,2
126,"2020-02-24","2020-03-03",2,427,13,13001674,42855,1130.0,1
127,"2020-03-18","2020-03-21",1,1066,13,13001674,42827,512.38,3
128,"2020-04-04","2020-04-06",2,966,13,13001674,42869,199.0,1
129,"2020-04-20","2020-04-25",3,451,13,13001674,42870,178.0,1
153,"2019-01-09","2019-01-12",3,3090,13,13001674,42905,456.0,2
