pais,provincia_departamento,ciudad,property_type,rooms,bedrooms,bathrooms,surface_total,price_USD
Argentina,Capital Federal,Villa Crespo,Departamento,2.0,1.0,1.0,37.0,85000.0
Argentina,Capital Federal,Palermo,Departamento,6.0,4.0,4.0,300.0,1590000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,95.0,85329.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,1.0,60.0,22846.0
Argentina,Capital Federal,Balvanera,Departamento,3.0,2.0,1.0,45.0,80000.0
Colombia,Santander,Floridablanca,Apartamento,3.0,3.0,2.0,75.0,60556.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,3.0,2.0,1.0,87.0,139000.0
Argentina,Capital Federal,Villa Crespo,Departamento,4.0,3.0,1.0,100.0,174500.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,93.0,115607.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,3.0,2.0,2.0,99.0,260000.0
Argentina,Capital Federal,Almagro,Departamento,2.0,1.0,1.0,56.0,138000.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,42.0,100000.0
Colombia,Risaralda,Pereira,Apartamento,3.0,3.0,3.0,121.0,96339.0
Argentina,Buenos Aires Costa Atlántica,Monte Hermoso,Departamento,5.0,3.0,2.0,105.0,260000.0
Argentina,Capital Federal,Recoleta,Departamento,2.0,1.0,1.0,57.0,145000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,33.0,65900.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,35.0,65900.0
Argentina,Capital Federal,Belgrano,Departamento,4.0,3.0,3.0,171.0,1250000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,96.0,121112.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,4.0,2.0,1.0,60.0,59900.0
Argentina,Buenos Aires Costa Atlántica,Necochea,Departamento,2.0,1.0,1.0,39.0,73000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,33.0,98000.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,1.0,80.0,189000.0
Argentina,Neuquén,Confluencia,Departamento,5.0,2.0,1.0,115.0,300000.0
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,1.0,73.0,342113.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,85.0,56427.0
Argentina,Capital Federal,Recoleta,Departamento,3.0,2.0,1.0,75.0,310000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,103.0,86705.0
Argentina,Capital Federal,Palermo,Departamento,4.0,3.0,2.0,75.0,195000.0
Argentina,Capital Federal,San Telmo,Departamento,4.0,3.0,2.0,109.0,228000.0
Argentina,Capital Federal,Recoleta,Departamento,5.0,2.0,2.0,178.0,540000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,2.0,77.0,135000.0
Argentina,Buenos Aires Costa Atlántica,Pinamar,Departamento,1.0,1.0,1.0,30.0,65000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,2.0,1.0,1.0,67.0,145000.0
Argentina,Capital Federal,Belgrano,Departamento,5.0,4.0,3.0,210.0,745000.0
Argentina,Bs.As. G.B.A. Zona Sur,La Plata,Departamento,2.0,1.0,1.0,40.0,65000.0
Colombia,Atlántico,Barranquilla,Apartamento,2.0,2.0,1.0,51.0,45351.0
Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,Departamento,2.0,1.0,1.0,48.0,95000.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,40.0,110000.0
Argentina,Córdoba,Córdoba,Departamento,2.0,1.0,1.0,45.0,49800.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,75.0,74319.0
Argentina,Capital Federal,Palermo,Departamento,2.0,1.0,1.0,33.0,98000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,92.0,107349.0
Argentina,Capital Federal,Villa Crespo,Departamento,1.0,1.0,1.0,42.0,107322.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,3.0,112.0,104597.0
Colombia,Antioquia,Envigado,Apartamento,3.0,3.0,3.0,63.0,52298.0
Argentina,Neuquén,Neuquén,Departamento,3.0,2.0,1.0,55.0,120000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,2.0,80.0,72392.0
Argentina,Capital Federal,Palermo,Departamento,3.0,2.0,2.0,82.0,205000.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,3.0,125.0,110102.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,2.0,2.0,2.0,86.0,97165.0
Argentina,Capital Federal,Colegiales,Departamento,2.0,1.0,1.0,41.0,108000.0
Colombia,Valle del Cauca,Cali,Apartamento,3.0,3.0,3.0,148.0,225709.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,4.0,280.0,261492.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,4.0,4.0,4.0,300.0,516102.0
Argentina,Buenos Aires Costa Atlántica,Villa Gesell,Departamento,2.0,1.0,1.0,30.0,35000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,76.0,70190.0
Argentina,Bs.As. G.B.A. Zona Norte,Tigre,Departamento,2.0,1.0,1.0,55.0,153000.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,4.0,3.0,3.0,120.0,170000.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,34.0,49500.0
Colombia,Cundinamarca,Bogotá D.C,Apartamento,3.0,3.0,2.0,96.0,63309.0
Argentina,Santa Fe,Rosario,Departamento,2.0,1.0,1.0,35.0,75000.0
Colombia,Atlántico,Barranquilla,Apartamento,3.0,3.0,2.0,86.0,63309.0
Argentina,Capital Federal,Barrio Norte,Departamento,2.0,1.0,1.0,47.0,142000.0
Argentina,Capital Federal,Chacarita,Departamento,4.0,3.0,1.0,95.0,171000.0
Argentina,Bs.As. G.B.A. Zona Oeste,Ituzaingó,Departamento,1.0,1.0,1.0,30.0,45000.0
Argentina,Capital Federal,Caballito,Departamento,2.0,1.0,1.0,48.0,124000.0
Argentina,Santa Fe,Rosario,Departamento,3.0,1.0,1.0,41.0,66000.0
Colombia,Antioquia,Envigado,Apartamento,1.0,1.0,2.0,113.0,230388.0
Argentina,Buenos Aires Costa Atlántica,Mar del Plata,Departamento,1.0,1.0,1.0,32.0,71900.0
Argentina,Bs.As. G.B.A. Zona Norte,San Miguel,Departamento,2.0,1.0,1.0,38.0,51000.0
