WKT,ID,NOMBRE,NOM_MAP,OBJETO,CALLE,ALTURA,DOM_NORMA,DOM_GEO,TELEFONO,GUARDIA,FAX,WEB,COD_POSTAL,TIPO,TIPO_ESPEC,MOD_AT_1,MOD_AT_2,DEPEND_ADM,DIRECTOR
POINT (-58.3775508488443 -34.6288473603881),1,HOSPITAL GENERAL DE NIÑOS PEDRO DE ELIZALDE,HOSP. DE ELIZALDE,HOSPITAL,MANUEL A. MONTES DE OCA,40,"MONTES DE OCA, MANUEL AV. 40","40 MONTES DE OCA, MANUEL AV.",4307-5842 / 5844,4307-5442 / 4300-1700,4302-7400,www.elizalde.gov.ar,C1270AAN,Hospital de niños,PEDIATRIA,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Javier Indart
POINT (-58.4120700769456 -34.5941919726393),2,HOSPITAL GENERAL DE NIÑOS RICARDO GUTIERREZ,HOSP. GUTIERREZ,HOSPITAL,GALLO,1330,GALLO 1330,1330 GALLO,4962-9247 / 9248 / 9280,4962-9232,4962-3762,www.guti.gov.ar,C1425EFD,Hospital de niños,PEDIATRIA,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. María Cristina Galoppo
POINT (-58.4027276547828 -34.5845283357505),4,HOSPITAL DE ODONTOLOGIA DR. RAMON CARRILLO (EX NACIONAL),HOSP. ODONTOLOGICO CARRILLO,HOSPITAL,SANCHEZ DE BUSTAMANTE,2529,SANCHEZ DE BUSTAMANTE 2529,2529 SANCHEZ DE BUSTAMANTE,4805-5521 / 7533,4805-6407,4805-7533,,C1425DUY,Hospital especializado,ODONTOLOGIA,AT. AMBULATORIA,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Susana Rita Lisanti
POINT (-58.3851559118889 -34.6394041316484),6,HOSPITAL DE SALUD MENTAL BRAULIO MOYANO,HOSP. MOYANO,HOSPITAL,BRANDSEN,2570,BRANDSEN 2570,2570 BRANDSEN,4301-3655 / 3659,4301-4522,4303-3655/59,www.moyano.org.ar,C1287ABJ,Hospital especializado,SALUD MENTAL,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Norma Derito
POINT (-58.3913114406535 -34.6341535760002),7,HOSPITAL DE GASTROENTEROLOGIA B. UDAONDO,HOSP. UDAONDO,HOSPITAL,CASEROS,2061,CASEROS AV. 2061,2061 CASEROS AV.,4306-4641 al 4649,4306-4641 al 49 (int. 125),4306-3013,,C1264AAA,Hospital especializado,ENF. APAR. DIGESTIVO,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Eduardo Gustavo Sosa
POINT (-58.4349433479819 -34.6084721257413),8,INSTITUTO DE ZOONOSIS L. PASTEUR,INST. PASTEUR,HOSPITAL,DIAZ VELEZ,4821,DIAZ VELEZ AV. 4821,4821 DIAZ VELEZ AV.,4958-9900,4982-8421 / 4504 / 6666,4983-7300,,C1405DCD,Hospital especializado,ZOONOSIS,AT. AMBULATORIA,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Oscar Enrique Lencinas
POINT (-58.3758433488021 -34.6302112044495),9,HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER,HOSP. FERRER,HOSPITAL,DOCTOR ENRIQUE FINOCHIETTO,849,FINOCHIETTO ENRIQUE DR. 849,849 FINOCHIETTO ENRIQUE DR.,4307-1445 / 4677 / 6777 / 6738 / 7474,4307-1445 (int. 145),4307-2567,,C1272AAA,Hospital especializado,NEUMONOLOGIA,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Dora Lombardi
POINT (-58.3823284509488 -34.6357022351559),10,HOSPITAL INFANTO JUVENIL C. TOBAR GARCIA,HOSP. TOBAR GARCIA,HOSPITAL,DOCTOR RAMON CARRILLO,315,"CARRILLO, RAMON, DR. 315","315 CARRILLO, RAMON, DR.",4305-6108,4304-6666,4304-4911,,C1275AHG,Hospital especializado,SALUD MENTAL,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Guillermo Vega
POINT (-58.3821283746958 -34.6364350546569),11,HOSPITAL DE SALUD MENTAL J. T. BORDA,HOSP. BORDA,HOSPITAL,DOCTOR RAMON CARRILLO,375,"CARRILLO, RAMON, DR. 375","375 CARRILLO, RAMON, DR.",4305-6485,4305-6666 / 6485,4304-1200,,C1275AHG,Hospital especializado,SALUD MENTAL,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Daniel Cichello
POINT (-58.3601201271455 -34.6388917320834),12,HOSPITAL DE ODONTOLOGIA INFANTIL DON BENITO QUINQUELA MARTIN,HOSP. ODONTOLOGICO INFANTIL QUINQUELA MARTIN,HOSPITAL,DON PEDRO DE MENDOZA,1795,DON PEDRO DE MENDOZA AV. 1795,1795 DON PEDRO DE MENDOZA AV.,4360- 3900 / 4301-4870 / 4834 / 4302-9492 / 9510,4301-4870,4301-4870,,C1169AAB,Hospital especializado,ODONTOLOGIA,AT. AMBULATORIA,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Scagnet Gabriela
POINT (-58.4409882382439 -34.5538963316473),13,INSTITUTO DE REHABILITACION PSICOFISICA (I.R.E.P.),INST. DE REHAB. PSICOFISICA,HOSPITAL,ECHEVERRIA,955,ECHEVERRIA 955,955 ECHEVERRIA,4781-6071 al 74,4784-1225,478-30398,,C1428DQG,Hospital especializado,MED. FISICA/REHABILITACION,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Silvina Ajolfi
POINT (-58.4027506275377 -34.634856308415),14,HOSPITAL MATERNO INFANTIL R. SARDA,HOSP. SARDA,HOSPITAL,ESTEBAN DE LUCA,2151,"LUCA, ESTEBAN DE 2151","2151 LUCA, ESTEBAN DE",4943-3567,4943-4250,494-34966,www.sarda.org.ar,C1246ABQ,Hospital especializado,MATERNO-INFANTIL,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Eduardo Valenti
POINT (-58.4601855775528 -34.6054342750207),15,HOSPITAL OFTALMOLOGICO DR. PEDRO LAGLEYZE,HOSP. LAGLEYZE,HOSPITAL,JUAN B. JUSTO,4151,"JUSTO, JUAN B. AV. 4151","4151 JUSTO, JUAN B. AV.",4582-1278 / 4581-7766 / 0645,4581-0645 / 7766 / 2792  4582-8235 / 1278 (int. 108),4582-1278,,C1416DJI,Hospital especializado,OFTALMOLOGIA,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Fernando Scattini
POINT (-58.4276597542837 -34.6146348348429),16,HOSPITAL DE ODONTOLOGIA  JOSE DUEÑAS,HOSP. ODONTOLOGICO DUEÑAS,HOSPITAL,MUÑIZ,15,MUÑIZ 15,15 MUÑIZ,4983-0392 / 4983-8983,4983-0392 / 4983-8983,4983-0688,,C1212AAA,Hospital especializado,ODONTOLOGIA,AT. AMBULATORIA,DIAGNOSTICO,Ministerio de Salud GCBA,Dra. Ada Severino
POINT (-58.4332484381295 -34.6070507603866),17,HOSPITAL MUNICIPAL DE ONCOLOGIA MARIE CURIE,HOSP. CURIE,HOSPITAL,PATRICIAS ARGENTINAS,150,PATRICIAS ARGENTINAS AV. 150,150  PATRICIAS ARGENTINAS AV.,4982-1731 / 1831,4982-1731 / 1831 / 5744,4982-3972,,C1405BWU,Hospital especializado,ONCOLOGIA,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Alejandro Fernández
POINT (-58.4323966950244 -34.6255031952483),18,HOSPITAL DE QUEMADOS DR. ARTURO UMBERTO ILLIA,HOSP. DE QUEMADOS A. U. ILLIA,HOSPITAL,PEDRO GOYENA,369,"GOYENA, PEDRO AV. 369","369 GOYENA, PEDRO AV.",4923-3022,4923-4082 / 4923-3022,4925-3557,www.buenosaires.gov.ar/areas/salud/hospital_quemados/?menu_id=24263,C1424BSD,Hospital especializado,QUEMADOS,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Armando Escobar
POINT (-58.3940641604746 -34.6227125075124),19,HOSPITAL DE OFTALMOLOGIA SANTA LUCIA,HOSP. SANTA LUCIA,HOSPITAL,SAN JUAN,2021,SAN JUAN AV. 2021,2021 SAN JUAN AV.,4127-3100 / 4941-5555,4941- 8081,4941-7077,www.hospitalsantalucia.com.ar,C1232AAC,Hospital especializado,OFTALMOLOGIA,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dra. Estela Fernández Rey
POINT (-58.5021449222222 -34.6179817540591),20,HOSPITAL DE REHABILITACION M. ROCCA,HOSP. DE REHAB. ROCCA,HOSPITAL,SEGUROLA,1949,SEGUROLA AV. 1949,1949 SEGUROLA AV.,4630-4700 / 4800,4630-4741 / 4742,4566-4206,,C1407AOM,Hospital especializado,MED. FISICA/REHABILITACION,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Cichero Carlos
POINT (-58.3937269413225 -34.6375293258416),21,HOSPITAL DE INFECCIOSAS F. MUÑIZ,HOSP. MUÑIZ,HOSPITAL,USPALLATA,2272,USPALLATA 2272,2272 USPALLATA,4304-2180 / 3380 / 4306-7855,4304-5555 / 4304-3380 / 2946 (int. 213),4304-2386,,C1282AEN,Hospital especializado,INFECTOLOGIA,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. González Montaner Pablo
POINT (-58.4752588459761 -34.5972098729151),22,HOSPITAL DE EMERGENCIAS PSIQUIATRICAS TORCUATO DE ALVEAR,HOSP. T. DE ALVEAR,HOSPITAL,WARNES,2630,WARNES AV. 2630,2630 WARNES AV.,4521-0273 / 0090 / 0983,4521-5555 / 5934,4521-2537,,C1427DPS,Hospital especializado,SALUD MENTAL,AT. AMB./INTERNACION,DIAGNOSTICO,Ministerio de Salud GCBA,Dr. Marcelo Ernesto Lahitou
POINT (-58.4005134574423 -34.5847659581214),23,HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA,HOSP. RIVADAVIA,HOSPITAL,GENERAL LAS HERAS,2670,LAS HERAS GENERAL AV. 2670,2670 LAS HERAS GENERAL AV.,4809-2000,4809-2002 / 2340,4802-2721,www.buenosaires.gov.ar/areas/salud/rivadavia,C1425ASQ,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Eduardo Fernández Rostello
POINT (-58.365985088719 -34.6283448581677),24,HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH,HOSP. ARGERICH,HOSPITAL,CORBETA PI Y MARGAL,750,PI Y MARGALL 750,750 PI Y MARGALL,4121-0700 / 0800,4121-0683,4362-2621,,C1155AHD,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Néstor Hernández
POINT (-58.4068939142787 -34.581141710889),25,HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ,HOSP. FERNANDEZ,HOSPITAL,CERVIÑO,3356,CERVIÑO AV. 3356,3356 CERVIÑO AV.,4808-2600,4808-5555 / 2600 / 2650 / 2640,4801-0932,,C1425AGP,Hospital de agudos,GRAL: BAS/CRIT/OTR,AT. AMB./INTERNACION,DIAG./TRATAM.,Ministerio de Salud GCBA,Dr. Previgliano Ignacio
