,airport_id,city,state,name
0,10165,Adak Island,AK,Adak
1,10299,Anchorage,AK,Ted Stevens Anchorage International
2,10304,Aniak,AK,Aniak Airport
3,10754,Barrow,AK,Wiley Post/Will Rogers Memorial
4,10551,Bethel,AK,Bethel Airport
5,10926,Cordova,AK,Merle K Mudhole Smith
6,14709,Deadhorse,AK,Deadhorse Airport
7,11336,Dillingham,AK,Dillingham Airport
8,11630,Fairbanks,AK,Fairbanks International
9,11997,Gustavus,AK,Gustavus Airport
10,12523,Juneau,AK,Juneau International
11,12819,Ketchikan,AK,Ketchikan International
12,10245,King Salmon,AK,King Salmon Airport
13,10170,Kodiak,AK,Kodiak Airport
14,13970,Kotzebue,AK,Ralph Wien Memorial
15,13873,Nome,AK,Nome Airport
16,14256,Petersburg,AK,Petersburg James A Johnson
17,14828,Sitka,AK,Sitka Rocky Gutierrez
18,12807,St. Mary's,AK,St. Mary's Airport
19,11445,Unalaska,AK,Unalaska Airport
20,15841,Wrangell,AK,Wrangell Airport
21,15991,Yakutat,AK,Yakutat Airport
22,10599,Birmingham,AL,Birmingham-Shuttlesworth International
23,11308,Dothan,AL,Dothan Regional
24,12217,Huntsville,AL,Huntsville International-Carl T Jones Field
25,13422,Mobile,AL,Mobile Regional
26,13277,Montgomery,AL,Montgomery Regional
27,15919,Fayetteville,AR,Northwest Arkansas Regional
28,11778,Fort Smith,AR,Fort Smith Regional
29,12992,Little Rock,AR,Adams Field
30,15401,Texarkana,AR,Texarkana Regional-Webb Field
31,11695,Flagstaff,AZ,Flagstaff Pulliam
32,11869,Grand Canyon,AZ,Grand Canyon National Park
33,14107,Phoenix,AZ,Phoenix Sky Harbor International
34,15376,Tucson,AZ,Tucson International
35,16218,Yuma,AZ,Yuma MCAS/Yuma International
36,10157,Arcata/Eureka,CA,Arcata
37,10561,Bakersfield,CA,Meadows Field
38,10800,Burbank,CA,Bob Hope
39,11041,Carlsbad,CA,McClellan-Palomar
40,11002,Chico,CA,Chico Municipal
41,10910,Concord,CA,Buchanan Field
42,10930,Crescent City,CA,Jack McNamara Field
43,12363,El Centro,CA,Imperial County
44,11638,Fresno,CA,Fresno Yosemite International
45,12436,Inyokern,CA,Inyokern Airport
46,15383,Lake Tahoe,CA,Lake Tahoe Airport
47,12954,Long Beach,CA,Long Beach Airport
48,12892,Los Angeles,CA,Los Angeles International
49,13388,Mammoth Lakes,CA,Mammoth Lakes Airport
50,13424,Modesto,CA,Modesto City-County-Harry Sham Field
51,13476,Monterey,CA,Monterey Peninsula
52,13796,Oakland,CA,Metropolitan Oakland International
53,13891,Ontario,CA,Ontario International
54,13988,Oxnard/Ventura,CA,Oxnard
55,14262,Palm Springs,CA,Palm Springs International
